source,rel_type,target,evidence
NVDA,DISCLOSES,RF_EXPORT_CONTROLS,FY2025 10-K Item 1A: US licensing requirements restrict exports of its most advanced data-center GPUs to China
AMD,DISCLOSES,RF_EXPORT_CONTROLS,FY2024 10-K Item 1A: export controls restrict sales of certain AI and high-performance accelerators to China
QCOM,DISCLOSES,RF_EXPORT_CONTROLS,FY2024 10-K Item 1A: national security-based trade restrictions affect sales to certain Chinese customers
MU,DISCLOSES,RF_EXPORT_CONTROLS,FY2024 10-K Item 1A: export controls and Chinese government restrictions (CAC review) limit memory sales
INTC,DISCLOSES,RF_EXPORT_CONTROLS,FY2024 10-K Item 1A: export license requirements restrict certain processor sales to Chinese customers
AVGO,DISCLOSES,RF_EXPORT_CONTROLS,FY2024 10-K Item 1A: government export restrictions could affect sales of semiconductor products to China
TSM,DISCLOSES,RF_EXPORT_CONTROLS,FY2024 20-F: export control regimes covering US-origin technology constrain which customers TSMC may serve
ASML,DISCLOSES,RF_EXPORT_CONTROLS,FY2024 20-F: Dutch and US export restrictions limit shipments of advanced lithography systems to China
NVDA,DISCLOSES,RF_TAIWAN_CONCENTRATION,FY2025 10-K Item 1A: reliance on third-party foundries concentrated in the Asia-Pacific region including Taiwan
AMD,DISCLOSES,RF_TAIWAN_CONCENTRATION,FY2024 10-K Item 1A: substantially all products manufactured by third parties located in Taiwan and Asia
QCOM,DISCLOSES,RF_TAIWAN_CONCENTRATION,FY2024 10-K Item 1A: geopolitical conflict involving Taiwan could disrupt the foundries it relies on
AVGO,DISCLOSES,RF_TAIWAN_CONCENTRATION,FY2024 10-K Item 1A: dependence on TSMC wafer fabrication concentrated in Taiwan
MU,DISCLOSES,RF_TAIWAN_CONCENTRATION,FY2024 10-K Item 1A: significant DRAM fabrication operations located in Taiwan
TSM,DISCLOSES,RF_TAIWAN_CONCENTRATION,FY2024 20-F: substantially all fabs and operations are located in Taiwan amid cross-strait tensions
NVDA,DISCLOSES,RF_CHINA_REVENUE,FY2025 10-K Item 1A: China historically a significant market whose revenue has been hurt by export restrictions
AMD,DISCLOSES,RF_CHINA_REVENUE,FY2024 10-K Item 1A: a material portion of revenue derives from sales to customers in China
QCOM,DISCLOSES,RF_CHINA_REVENUE,FY2024 10-K Item 1A: a significant portion of business is concentrated in China-based handset OEMs
